sample,input_reads,reads_post_cutadapt,final_umis
U2OS_XPG_4h_BR3,400248,340702,149823
U2OSPatty_WT_1h_BR2,324573,256671,88923
U2OS_XPG_4h_BR2,379134,321763,147162
TK6_PolQ_4h_BR2,420324,347770,99272
HAP1_WT_1h_BR2,297655,246990,60624
TK6_WT_1h_BR2,254128,193851,35768
U2OS_WT_24h_BR3,292325,247783,116402
U2OS_WT_2h_BR4,316186,280075,139096
U2OS_WT_24h_BR2,350667,308468,152469
U2OS_MSH2_4h_BR3,350333,302522,158868
U2OSPatty_WT_2h_BR2,397944,337252,153721
U2OSPatty_WT_2h_BR0,895194,695842,235054
U2OS_UNG_2h_BR1,328156,280823,139197
HAP1_MPG_2h_BR0,824455,439071,8137
U2OS_WT_2h_BR2,283694,246461,108538
TK6_WT_24h_BR0,1981954,1464710,69551
U2OS_MSH2_4h_BR0,1122224,955195,463432
HAP1_MUTYH_2h_BR3,358078,293053,85231
HAP1_WT_2h_BR3,312853,269767,87649
TK6_WT_24h_BR2,301593,225841,47547
HAP1_WT_2h_BR2,242818,197350,44401
HAP1_WT_1h_BR1,265629,163743,8740
U2OS_MGMT_2h_BR2,297292,248534,112662
U2OS_WT_1h_BR4,292289,164682,69811
TK6_PolQ_4h_BR0,887497,676323,111273
TK6_WT_2h_BR2,314396,261692,84163
TK6_WT_1h_BR3,357286,288627,60981
HAP1_WT_4h_BR1,382405,250820,37615
HAP1_WT_24h_BR2,272465,220737,93902
U2OS_UNG_2h_BR3,361157,311361,159307
TK6_LIG4_2h_BR3,370700,289939,70452
TK6_WT_24h_BR3,310309,239514,65437
HAP1_MPG_2h_BR3,463094,343599,30846
U2OS_WT_4h_BR3,259000,229119,115013
TK6_WT_2h_BR3,306061,261606,92831
TK6_PolQ_4h_BR3,323979,265084,76626
HAP1_WT_4h_BR2,352902,304929,109042
TK6_WT_1h_BR0,1882932,1231531,26903
TK6_LIG4_2h_BR0,2070751,1404036,61387
U2OS_WT_2h_BR3,303804,258223,104702
TK6_LIG4_1h_BR0,1683831,793716,19010
TK6_WT_4h_BR0,1857102,1518987,196658
HAP1_WT_4h_BR3,267218,231587,94712
HAP1_MPG_2h_BR2,416368,353208,151708
U2OS_WT_1h_BR3,237291,193111,75354
U2OS_MSH2_4h_BR2,307553,260417,133547
TK6_WT_2h_BR0,1682545,1281383,86928
U2OSPatty_OGG1_2h_BR0,941393,778199,328038
HAP1_WT_24h_BR1,306081,236892,51099
U2OS_MGMT_2h_BR0,968287,770261,195528
U2OS_WT_4h_BR4,304783,274382,134194
U2OSPatty_WT_2h_BR3,355940,304253,137940
TK6_LIG4_4h_BR0,1760223,1223237,68640
U2OS_XPG_4h_BR0,918241,746972,239142
U2OS_OGG1_1h_BR2,471567,405399,171808
U2OS_WT_4h_BR2,310380,272285,130806
TK6_WT_4h_BR3,409455,359674,143356
U2OS_WT_1h_BR2,268182,218955,83564
TK6_LIG4_24h_BR0,1830758,1258647,49324
HAP1_MUTYH_2h_BR0,869612,443436,13154
HAP1_WT_24h_BR3,339971,285101,98909
U2OS_UNG_2h_BR2,356697,307729,156615
TK6_WT_4h_BR2,339040,289420,96835
U2OS_MGMT_2h_BR3,392041,332054,149880
U2OS_WT_24h_BR4,301092,264812,139339
U2OS_OGG1_2h_BR3,403038,346015,171236
HAP1_MUTYH_2h_BR2,415498,339572,94898
HAP1_WT_2h_BR1,249752,172006,16997
HAP1_WT_1h_BR3,283972,236162,44432
U2OS_OGG1_2h_BR2,418462,355626,178603
TK6_LIG4_2h_BR2,344658,226596,50251
